ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
43451,43451,B5,G6350,S,63411475,157689,+41.3183010,-083.6174935
43452,43452,B5,G6350,S,121783676,13437379,+41.5157923,-082.9809454
43456,43456,B5,G6350,S,9389361,999166,+41.6468445,-082.8226641
43457,43457,B5,G6350,S,48035540,0,+41.2673266,-083.4274645
43458,43458,B5,G6350,S,2573816,39915,+41.5304461,-083.2133648
43460,43460,B5,G6350,S,7158544,791729,+41.6011920,-083.5649985
43462,43462,B5,G6350,S,66526720,65743,+41.2837850,-083.7228646
43463,43463,B5,G6350,S,19415,0,+41.5086650,-083.5080344
43464,43464,B5,G6350,S,86139720,12290475,+41.4048795,-082.9241092
43465,43465,B5,G6350,S,28559487,101977,+41.5654721,-083.5003020
43466,43466,B5,G6350,S,71873183,0,+41.2953588,-083.5148215
43467,43467,B5,G6350,S,898187,0,+41.2432028,-083.4838410
43468,43468,B5,G6350,S,1861424,0,+41.5978668,-083.3414931
97824,97824,B5,G6350,S,566187396,20851,+45.3543012,-117.7564700
97825,97825,B5,G6350,S,642625967,32070,+44.3851264,-119.4962730
97826,97826,B5,G6350,S,822819715,57985,+45.6642964,-119.2323162
97827,97827,B5,G6350,S,533407318,18202,+45.5754239,-117.8380496
97828,97828,B5,G6350,S,1906834986,91085,+45.7165633,-117.2219918
97830,97830,B5,G6350,S,1552763889,590016,+44.9665525,-120.1831533
97833,97833,B5,G6350,S,228152941,0,+44.9288886,-118.0148791
97834,97834,B5,G6350,S,540657668,624307,+44.9722752,-117.1611907
97835,97835,B5,G6350,S,487030038,0,+45.9100067,-118.7865436
97836,97836,B5,G6350,S,2400801132,1225618,+45.3211522,-119.4746198
97837,97837,B5,G6350,S,311217110,9485,+44.5566606,-118.0671060
97838,97838,B5,G6350,S,426246464,27992152,+45.8530040,-119.2872655
97839,97839,B5,G6350,S,518045552,0,+45.5911709,-119.5930402
97840,97840,B5,G6350,S,295762520,10777829,+44.8845993,-116.9184445
97841,97841,B5,G6350,S,49834318,0,+45.4651158,-117.9449249
97842,97842,B5,G6350,S,1797029231,5517358,+45.4235915,-116.6840285
97843,97843,B5,G6350,S,914875258,14910891,+45.5023217,-119.9028655
97844,97844,B5,G6350,S,107475724,19684141,+45.8841501,-119.5488363
97845,97845,B5,G6350,S,168393417,0,+44.4018235,-118.9030596
97846,97846,B5,G6350,S,1946998883,7512973,+45.4626987,-117.0395862
97848,97848,B5,G6350,S,490328168,53512,+44.7221766,-119.5805545
97850,97850,B5,G6350,S,749309358,1113608,+45.3035379,-118.1132779
97856,97856,B5,G6350,S,1117439009,18184,+44.8152119,-119.1252546
97857,97857,B5,G6350,S,697925431,1077064,+45.3591974,-117.5233124
97859,97859,B5,G6350,S,207557360,64805,+45.5267188,-118.4214554
97862,97862,B5,G6350,S,711813119,47030,+45.9220632,-118.3160627
97864,97864,B5,G6350,S,844549365,0,+44.8054660,-119.4359320
97865,97865,B5,G6350,S,989177165,29442,+44.4614657,-119.1800399
97867,97867,B5,G6350,S,352614556,922641,+45.0776545,-117.9937623
97868,97868,B5,G6350,S,1144889927,103091,+45.4092940,-118.8535816
97869,97869,B5,G6350,S,889793465,271461,+44.3975633,-118.6339795
97870,97870,B5,G6350,S,338753369,11587974,+44.7879893,-117.1865631
97873,97873,B5,G6350,S,197994460,0,+44.1320132,-119.0028841
97874,97874,B5,G6350,S,593635523,0,+44.7775726,-119.8675938
